TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
AALR3;7,10;;-3,19;0,83;0,31;30,10;1,60;-22,81;45,40;86,62;40,90;0,75;0,73;-3,76;-0,39;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;723.496,74;8,58;-2,22;-0,03;845.793.634,40
ABCB4;24,62;6,41;6,02;1,02;0,10;25,50;17,06;15,50;5,47;5,45;;;0,93;-2,85;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;16.791.969,32;24,15;4,09;-0,33;5.816.781.156,80
ABEV3;12,53;5,83;13,09;2,19;1,43;50,30;22,59;18,29;10,60;9,78;-0,75;-0,15;2,39;53,25;-1,97;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;362.855.994,53;5,73;0,96;0,86;196.135.224.385,80
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,55;;-6,24;0,84;0,18;12,62;9,03;-3,39;2,34;5,86;3,51;1,26;0,21;0,83;-0,55;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;2.684.560,53;0,66;-0,09;-0,03;683.322.163,15
AESB3;10,70;;40,82;1,44;0,32;35,54;28,78;4,90;6,95;16,91;9,96;2,06;2,00;19,72;-0,39;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;26.996.076,97;7,43;0,26;-0,60;6.440.622.227,70
AFLT3;7,12;3,69;14,66;1,72;1,44;57,31;45,58;44,72;14,38;14,01;-0,38;-0,05;6,56;14,72;-1,79;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;6.668,13;4,15;0,49;-0,20;449.163.064,00
AGRO3;23,99;13,39;9,60;1,12;0,70;30,65;20,17;20,86;9,93;11,79;1,85;0,21;2,00;3,43;-1,14;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;8.957.926,85;21,40;2,50;-0,22;2.463.375.821,56
AGXY3;1,79;2,22;-1,21;0,30;0,04;12,31;3,90;-2,43;0,75;3,34;2,59;1,03;0,03;1,34;-0,18;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;453.036,85;6,00;-1,48;0,00;305.776.730,31
AHEB3;16,10;;1,41;8,24;0,37;33,84;21,93;17,66;1,14;1,12;-0,02;-0,17;0,25;2,40;-0,65;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;5.567,50;1,95;11,39;0,00;137.681.829,04
AHEB5;16,61;;1,46;8,50;0,38;33,84;21,93;17,66;1,18;1,12;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.661,00;1,95;11,39;0,00;137.681.829,04
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,12;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;137.681.829,04
